Тест-кейсы stroyseven;;;;;;;;;;;
ID;Название (Title):;Описание( Summary):;;Приоритет (Priority);Предусловия (Preconditions);Шаги (Steps to reproduce):;;Ожидаемый результат (Expected result):	;;Фактический результат;Фиксация бага
;;;;;;5. Нажать на кнопку «Весы» на карточке другого конкретного товара;;5. Появляется уведомление о том, что выбранный товар добавлен в список сравнения;;;
;;;;;;6. Нажать на кнопку «Сравнение»;;6. Оба товара отображаются в списке сравнения. Визуально удобно сравнивать товары, критерии для сравнения расположены на одной строке;;;
40;Удаление товара из раздела «Сравнение» ;Пользователь может удалять товар из раздела  «Сравнение». ;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Каталог»;;2. Открывается выпадающий список с категориями товаров;;;
;;;;;;3. Выбрать конкретную категорию товара;;3. Открывается страница с товарами из выбранной категории;;;
;;;;;;4. Нажать на кнопку «Весы» на карточке конкретного товара;;4. Появляется уведомление о том, что выбранный товар добавлен в список сравнения;;;
;;;;;;5. Нажать на кнопку «Сравнение»;;5. Товар отображается в списке сравнения;;;
;;;;;;6. Еще раз нажать на кнопку «Весы» на карточке конкретного товара;;6. Появляется уведомление о том, что выбранный товар удален из списка сравнения и товар удаляется;;;
41;Работа гипер-ссылок «В каталог» и «Подробнее» на рекламе;При нажатии на гипер-ссылки «В каталог» и «Подробнее» открываются соответсвующие рекламе разделы сайта;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на гипер-ссылку «В каталог»;;2. Открывается страница товаров соответствующих рекламе при клике на саму гипер-ссылку;;2,3. Открывается страница товаров при клике на саму рекламу;Баг-фича 11
;;;;;;3. Нажать на гипер-ссылку «Подробнее»;;3. Открывается страница с информацией, соответствующей рекламе при клике на саму гипер-ссылку;;;
42;Работа слайдера с фотографиями главной рекламы сайта;Реклама перелистываете вперед/назад с помощью слайдера на боковых (слева и справа) сторонах рекламы;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на боковой значок слайдера (справа) на рекламе и так по кругу;;2. Реклама прокручивается вперед неограниченное количество кругов;;;
;;;;;;3. Нажать на боковой значок слайдера (слева) на рекламе и так по кругу;;3. Реклама прокручивается назад неограниченное количество кругов;;;
43;Работа гипер-ссылок на карточках товара в разделе «Каталог товаров»;При нажатии на гипер-ссылки на карточках товаров открывается информация о соотвествующих товарах;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Пролистать страницу сайта вниз до раздела «Каталог товаров»;;2. Отображаются карточки товаров с изображениями товара (нарисованные картинки) и гипер-ссылками на товары;;;
;;;;;;3. Нажать на гипер-ссылку конкретного товара;;3. Открывается страница с соответствующим товаром при клике на саму гипер-ссылку;;3. Открывается страница товаров при клике на саму карточку товара;Баг-фича 12
44;Работа гипер-ссылок на карточках товара в разделе «Лидеры продаж»;При нажатии на гипер-ссылки на карточках товаров открывается информация о соотвествующих товарах;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Пролистать страницу сайта вниз до раздела «Лидеры продаж»;;2. Отображаются карточки товаров с изображениями товара (реальные фотографии) и гипер-ссылкой на товар;;;
;;;;;;3. Нажать на гипер-ссылку конкретного товара;;3. Открывается страница с соответствующим товаром при клике на саму гипер-ссылку;;3. Открывается страница товаров при клике на саму карточку товара;Баг-фича 13
45;Работа слайдера в разделе «Лидеры продаж»;Карточки с товарами перелистывают вперед/назад с помощью слайдера;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Пролистать страницу сайта вниз до раздела «Лидеры продаж»;;2. Отображаются карточки товаров с изображениями товара (реальные фотографии);;;
;;;;;;3. С помощью слайдера перелистать страницы вправо;;3. Карточки с товарами пролистываются вперед. Пролистывание заканчивается, когда отображается последний товар в разделе (пролистывание не идет по кругу);;;
;;;;;;4. С помощью слайдера перелистать страницы влево;;4. Карточки с товарами пролистываются назад. Пролистывание заканчивается, когда отображается первый товар в разделе (пролистывание не идет по кругу);;;
46;Работа гипер-ссылок на карточках товара после раздела «Лидеры продаж» ;При нажатии на гипер-ссылки на карточках товаров открывается информация о соотвествующих товарах;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Пролистать страницу сайта ниже раздела «Лидеры продаж»;;2. Отображаются карточки товаров с изображениями товара (реальные фотографии) на черном фоне все с одинаковым дизайном;;2. На карточке в середине товар изображен в рамке, на остальных карточках такого оформления нет;Баг 14
;;;;;;3. Нажать на гипер-ссылку конкретного товара;;3. Открывается страница с соответствующим товаром при клике на саму гипер-ссылку;;3. Открывается страница товаров при клике на саму карточку товара;Баг-фича 15
47;Работа слайдера в разделе «Новинки»;Карточки с товарами перелистывают вперед/назад с помощью слайдера;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Пролистать страницу сайта вниз до раздела «Новинки»;;2. Отображается 1 карточка товара с изображением товара (реальная фотография);;;
;;;;;;3. С помощью слайдера перелистать страницы вправо;;3. Карточки с товарами пролистываются вперед.;;3.Пролистывания нет, страница после нажатия на слайдер зависает, необходима перезагрузка сайта;Баг 16
;;;;;;4. С помощью слайдера перелистать страницы влево;;4. Карточки с товарами пролистываются назад.;;4. Невозможно проверить работу слайдера, так как для того, чтобы прокрутить влево, сначала нужно прокрутить вправо, а эта функция заблокирована;
48;Работа слайдера в разделе «Товары по выгодным ценам»;Карточки с товарами перелистывают вперед/назад с помощью слайдера;;Средний ;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Пролистать страницу сайта вниз до раздела «Товары по выгодным ценам»;;2. Отображается 1 карточка товара с изображением товара (реальная фотография);;2. Полетела верстка в режиме сжатого экрана, слайдер наехал на надпись «Товары по выгодным ценам»;Баг 17
;;;;;;3. С помощью слайдера перелистать страницы вправо;;3. Карточки с товарами пролистываются вперед.;;3.Пролистывания нет, слайдер активен, но действия никакого не происходит;Баг 18
;;;;;;4. С помощью слайдера перелистать страницы влево;;4. Карточки с товарами пролистываются назад.;;4. Невозможно проверить работу слайдера, так как для того, чтобы прокрутить влево, сначала нужно прокрутить вправо, а эта функция заблокирована;
49;Работа слайдера в разделе «Рекомендуем»;Карточки с товарами перелистывают вперед/назад с помощью слайдера;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Пролистать страницу сайта вниз до раздела «Рекомендуем»;;2. Отображаются 2 карточки с товарами с изображениями товаров (реальные фотографии);;;
;;;;;;3. С помощью слайдера перелистать страницы вправо;;3. Карточки с товарами пролистываются вперед. Пролистывание заканчивается, когда отображается последний товар в разделе (пролистывание не идет по кругу);;;
;;;;;;4. С помощью слайдера перелистать страницы влево;;4. 3. Карточки с товарами пролистываются назад. Пролистывание заканчивается, когда отображается первый товар в разделе (пролистывание не идет по кругу);;;
50;Работа кнопки «Показать еще» в разделе рекламы товаров после блока с новинками;При нажатии на кнопку «Показать еще» появляются новые товары;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Пролистать страницу сайта вниз до раздела с рекламой товаров после раздела с новинками;;2. Отображаются карточки товаров в количестве 5ти штук;;;
;;;;;;3. Нажать на кнопку «Показать еще»;;3. Добавляется еще 5 товаров. При повторном нажатии на кнопку появляются еще товары (максимум 5). Если товаров меньше, то показываются остатки товаров и кнопка «Показать еще» исчезает;;;
51;Работа горизонтальной прокрутки блока с категориями товаров ;При прокрутке с помощью тачпада блок прокручивается влево и вправо;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Пролистать страницу сайта вниз до раздела с категориями товаров на красном фоне;;2. Отображается красное поле для прокрутки с категориями товаров;;;
;;;;;;3. С помощью слайдера перелистать страницы вправо;;3. Категории товаров прокручиваются вправо;;;
;;;;;;4. С помощью слайдера перелистать страницы влево;;3. Категории товаров прокручиваются влево;;;
52;Работа кнопок с категориями товаров в блоке с горизонтальной прокруткой;При нажатии на кнопки с выбором категории товаров открывается поле с товарами соответствующей категории ;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Пролистать страницу сайта вниз до раздела с категориями товаров на красном фоне;;2. Отображается красное поле для прокрутки с категориями товаров;;;
;;;;;;3. Нажать на конкретную категорию товаров (например «Листовые материалы»);;3. Открывается поле с товарами соответствующей категории;;;
53;Работа кнопки «В закладки» на карточке товара;При нажатии на кнопку «В закладки», товар попадает в раздел «Избранное»;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Каталог»;;2. Открывается выпадающий список с категориями товаров;;;
;;;;;;3. Нажать на конкретную категорию товаров;;3. Открывается поле с товарами соответствующей категории. На каждом товаре изображение кнопок «В закладки», «Быстрый заказ», «В сравнение»;;;
;;;;;;4. Нажать на кнопку «Сердечко» на карточке конкретного товара;;4. Появляется оповещение, что данный товар добавлен раздел «Избранное»;;4. Кнопка «В закладки» ведет в «Избранное». Функционально система ведет себя правильно, но названия кнопок должны быть одинаковыми;Баг-фича 19
;;;;;;5. Нажать на кнопку «Избранное»;;5. Выбранный товар добавлен раздел «Избранное»;;;
;;;;;;6. Еще раз нажать на кнопку «Сердечко» на карточке конкретного товара;;6. Появляется оповещение, что данный товар удален из раздела «Избранное»;;5. Появляется оповещение, что данный товар удален из закладок;Баг 20
54;Работа кнопки «Быстрый заказ» на карточке товара;При нажатии на кнопку «Быстрый заказ», появляется форма для оформления быстрого заказа;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Каталог»;;2. Открывается выпадающий список с категориями товаров;;;
;;;;;;3. Нажать на конкретную категорию товаров;;3. Открывается поле с товарами соответствующей категории. На каждом товаре изображение кнопок «В закладки», «Быстрый заказ», «В сравнение»;;;
;;;;;;4. Нажать на кнопку «Стрелка» на карточке конкретного товара;;4. Появляется форма для оформления быстрого заказа;;;
55;Работа кнопки «В сравнение» на карточке товара;При нажатии на кнопку «В сравнение», товар попадает в раздел «Cравнение»;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Каталог»;;2. Открывается выпадающий список с категориями товаров;;;
;;;;;;3. Нажать на конкретную категорию товаров;;3. Открывается поле с товарами соответствующей категории. На каждом товаре изображение кнопок «В закладки», «Быстрый заказ», «В сравнение»;;;
;;;;;;4. Нажать на кнопку «Весы» на карточке конкретного товара;;4. Появляется оповещение, что данный товар добавлен в раздел «Cравнение»;;;
;;;;;;5. Нажать на кнопку «Сравнение»;;5. Выбранный товар добавлен в раздел «Cравнение»;;;
;;;;;;6. Удалить товар из раздела;;6. Товар удаляется;;;
56;Работа кнопки «Яндекс Маркет»;При нажатии на кнопку  «Яндекс Маркет» должен осуществляться переход на отзывы об интернет-магазине;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Прокрутить страницу вниз до кнопки «Яндекс Маркет»;;2. Отображается кнопка «Яндекс Маркет» с возможностью посмотреть отзывы о сайте;;;
;;;;;;3. Нажать на кнопку «Яндекс Маркет»;;3. Открывается страница с отзывами о сайте;;Открывается страница с ошибкой 404;Баг 21
57;Работа разделов  в нижней части сайта (header) в разделе «Информация»;Категории в разделе «Информация» открываются и содержат соответствующую разделам информацию;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Прокрутить страницу вниз до раздела «Информация»;;2. Отображаются разделы «О компании», «Доставка», «Политика конфеденциальности», «Условия соглашения»;;;
;;;;;;3. Нажать на раздел «О компании»;;3. Открывается страница https://stroyseven.ru/o_kompanii с соответствующей разделу информацией;;;
;;;;;;4. Нажать на раздел «Доставка»;;4. Открывается страница https://stroyseven.ru/dostavka с соответствующей разделу информацией;;;
;;;;;;5. Нажать на раздел «Политика конфеденциальности»;;5. Открывается страница https://stroyseven.ru/politika_bezopasnosti с соответствующей разделу информацией;;;
;;;;;;6. Нажать на раздел «Условия соглашения»;;5. Открывается страница https://stroyseven.ru/usloviya_soglasheniya с соответствующей разделу информацией;;;
58;Работа фильтров в разделе «Категории» в нижней части сайта (header);При открытии фильтров открывается страница с соответствующими категории  товарами;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Прокрутить страницу вниз до раздела «Категории»;;2. Отображаются категории товаров сайта;;;
;;;;;;3. Нажать на конкретную категорию товаров (например «Листовые материалы»);;3. Открывается поле с товарами соответствующей категории;;;
59;Работа разделов  в нижней части сайта (header) в разделе «Дополнительно»;Категории в разделе «Дополнительно» открываются и содержат соответствующую разделам информацию;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Прокрутить страницу вниз до раздела «Дополнительно»;;2. Отображаются разделы «Производители», «Партнерская программа», «Акции», «Карта сайта»;;;
;;;;;;3. Нажать на раздел «Производители»;;3. Открывается страница https://stroyseven.ru/brands/ с соответствующей разделу информацией;;;
;;;;;;4. Нажать на раздел «Партнерская программа»;;4. Открывается страница https://stroyseven.ru/affiliate-login/ с соответствующей разделу информацией;;;
;;;;;;5. Нажать на раздел «Акции»;;5. Открывается страница https://stroyseven.ru/specials/ с соответствующей разделу информацией;;;
;;;;;;6. Нажать на раздел «Карта сайта»;;6. Открывается страница https://stroyseven.ru/sitemap/ с соответствующей разделу информацией;;;
60;Работа разделов  в нижней части сайта (header) в разделе «Личный кабинет» для авторизованных пользователей;Категории в разделе «Личный кабинет» открываются и содержат соответствующую разделам информацию для авторизованных пользователей;;Средний;Быть зарегистрированным и авторизованным пользователем ;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Прокрутить страницу вниз до раздела «Личный кабинет»;;2. Отображаются разделы «Личный кабинет», «История заказов», «Закладки», «Контакты»;;;
;;;;;;3. Нажать на раздел «Личный кабинет»;;3. Открывается страница https://stroyseven.ru/my-account/ с соответствующей разделу информацией;;;
;;;;;;4. Нажать на раздел «История заказов»;;4. Открывается страница https://stroyseven.ru/order-history/ с соответствующей разделу информацией;;;
;;;;;;5. Нажать на раздел «Закладки»;;5. Открывается страница https://stroyseven.ru/wishlist/ с соответствующей разделу информацией, название раздела «Избранное»;;5. Раздел называется «Закладки»;Баг 22
;;;;;;6. Нажать на раздел «Контакты»;;6. Открывается страница https://stroyseven.ru/kontakty с соответствующей разделу информацией;;;
61;Работа поля «Поиск»;При вводе конкретного товара в поисковую строку, товар находится либо выходит оповещении о том, что товар не найден;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Ввести в поле поиска товар, который соответствует тематике сайта (например: кирпич);;2. Открывается выпадающий список с соответсвующим товаром;;;
;;;;;;3. Ввести в поле поиска товар, который не соответствует тематике сайта (например: селедка);;3. Выходит сообщение «Данного товара нет в наличии»;;3. Открывается выпадающий список с рандомными товарами;Баг 23
62;Работа кнопок на странице товара;На странице товара находятся кнопки «Все про товар», «Описание», «Характеристики», «Отзывы», «Вопрос-ответ». Все они функционируют и содержат соответствующую информацию;;Средний;;1. Открыть страницу https://stroyseven.ru;;1. Главная страница сайта открывается;;;
;;;;;;2. Нажать на кнопку «Каталог»;;2. Открывается выпадающий список с категориями товаров;;;
;;;;;;3. Выбрать конкретную категорию товара;;3. Открывается страница с товарами из выбранной категории;;;
;;;;;;4. Нажать на товар;;4. Появляется красное поле с кнопками «Все про товар», «Описание», «Характеристики», «Отзывы», «Вопрос-ответ»;;;
;;;;;;5. Нажать на кнопку «Все про товар»;;5. Кнопка кликабельна, после клика выходит соответствующая информация;;;
;;;;;;6. Нажать на кнопку «Описание»;;6. Кнопка кликабельна, после клика выходит соответствующая информация;;;
;;;;;;7. Нажать на кнопку «Характеристики»;;7. Кнопка кликабельна, после клика выходит соответствующая информация;;7. Кнопка «Характеристики» отсутствует на некоторых товарах;Баг 28
;;;;;;8. Нажать на кнопку «Отзывы»;;8. Кнопка кликабельна, после клика выходит соответствующая информация;;;
;;;;;;9. Нажать на кнопку «Вопрос-ответ»;;9. Кнопка кликабельна, после клика выходит соответствующая информация;;;
